mse,accuracy,precision,recall,f1,mse_cumulative,mse_cumulative_avg,accuracy_cumulative,accuracy_cumulative_avg,precision_cumulative,precision_cumulative_avg,recall_cumulative,recall_cumulative_avg,f1_cumulative,f1_cumulative_avg
0.001432913,0.9228067398071289,0.304076115577713,0.2954913768103581,0.29972228710841187,0.001432913,0.0014329130062833428,0.9228067398071289,0.9228067398071289,0.304076115577713,0.304076115577713,0.2954913768103581,0.2954913768103581,0.29972228710841187,0.29972228710841187
0.002094499,0.9242496490478516,0.31316106092984,0.2974872485969192,0.3051230010148021,0.0035274122,0.0017637060373090208,1.8470563888549805,0.9235281944274902,0.617237176507553,0.3086185882537765,0.5929786254072773,0.29648931270363865,0.604845288123214,0.302422644061607
0.0031112991,0.9249973297119141,0.3168121192162029,0.29538902441104725,0.30572573668320413,0.0066387113,0.0022129037339861193,2.7720537185668945,0.9240179061889648,0.934049295723756,0.31134976524125196,0.8883676498183246,0.29612254993944154,0.9105710248064182,0.30352367493547266
0.003934835,0.9257020950317383,0.3208952451708767,0.29472373381552686,0.3072531811027823,0.010573546,0.002643386571435258,3.697755813598633,0.9244389533996582,1.2549445408946327,0.3137361352236582,1.1830913836338515,0.29577284590846287,1.2178242059092006,0.3044560514773001
0.004967339,0.92657470703125,0.3273759185130894,0.2971631326657682,0.3115387366764432,0.015540885,0.0031081770313903688,4.624330520629883,0.9248661041259766,1.582320459407722,0.3164640918815444,1.4802545162996197,0.29605090325992395,1.5293629425856439,0.30587258851712873
0.0064978017,0.9268131256103516,0.32837036616089865,0.2957131403421982,0.3111873047786594,0.022038687,0.0036731144840208194,5.551143646240234,0.9251906077067057,1.9106908255686208,0.3184484709281034,1.7759676566418179,0.295994609440303,1.8405502473643032,0.3067583745607172
0.008520224,0.9267330169677734,0.32612557544268495,0.2912437522389587,0.30769923944778865,0.03055891,0.004365558719395527,6.477876663208008,0.9254109518868583,2.2368164010113056,0.31954520014447224,2.0672114088807767,0.2953159155543967,2.148249486812092,0.30689278383029883
0.010503158,0.9270515441894531,0.32809403797687525,0.29091963630780776,0.3083905967450271,0.04106207,0.005132758626132272,7.404928207397461,0.9256160259246826,2.5649104389881807,0.3206138048735226,2.3581310451885846,0.294766380648573,2.4566400835571187,0.30708001044463984
0.010829513,0.9272298812866211,0.3286699736474965,0.2893502328517084,0.30775930109136435,0.05189158,0.005765731330029666,8.332158088684082,0.9257953431871202,2.8935804126356772,0.32150893473729747,2.647481278040293,0.2941645864489214,2.764399384648483,0.3071554871831648
0.010616437,0.9272165298461914,0.327625837618825,0.28691083400146705,0.30591958674754677,0.06250802,0.006250801857095212,9.259374618530273,0.9259374618530274,3.221206250254502,0.32212062502545025,2.93439211204176,0.293439211204176,3.0703189713960297,0.307031897139603
0.011210024,0.9271183013916016,0.3258594040421827,0.2841132017536378,0.3035577589035104,0.07371804,0.0067016402661631055,10.186492919921875,0.9260448109019886,3.5470656542966847,0.3224605140269714,3.218505313795398,0.29259139216321794,3.37387673029954,0.3067160663908673
0.011592448,0.9277143478393555,0.3313697769399937,0.2878831817949199,0.30809957188107606,0.08531049,0.0071092075571262585,11.11420726776123,0.9261839389801025,3.8784354312366784,0.3232029526030566,3.506388495590318,0.2921990412991931,3.6819763021806162,0.30683135851505133
0.011628599,0.9275665283203125,0.3293218569655906,0.2852220194128384,0.3056896299546585,0.09693909,0.007456853045508838,12.041773796081543,0.9262902920062726,4.207757288202269,0.3236736375540207,3.7916105150031565,0.29166234730793505,3.9876659321352745,0.306743533241175
0.011307742,0.927978515625,0.3331424396216355,0.28778082939560906,0.30880468606992495,0.10824683,0.007731916574162564,12.969752311706543,0.9264108794076102,4.540899727823905,0.32434998055885034,4.079391344398766,0.2913850960284832,4.296470618205199,0.3068907584432286
0.011366014,0.9282054901123047,0.33512122711528947,0.2888384708551543,0.31026331702490245,0.11961285,0.007974189760473867,13.897957801818848,0.9265305201212565,4.876020954939194,0.3250680636626129,4.36822981525392,0.29121532101692793,4.6067339352301016,0.3071155956820068
0.010631981,0.9282951354980469,0.33570025983299284,0.288719059722625,0.31044223114877384,0.13024484,0.008140301732055377,14.826252937316895,0.9266408085823059,5.2117212147721865,0.3257325759232617,4.656948874976544,0.291059304686034,4.917176166378876,0.3073235103986798
0.009963412,0.9278736114501953,0.33098829467994195,0.2841132017536378,0.30576464108683676,0.14020824,0.008247543502982487,15.75412654876709,0.9267133263980641,5.542709509452129,0.32604173585012525,4.941062076730182,0.2906507103958931,5.222940807465712,0.3072318122038655
0.010740037,0.9282169342041016,0.3342756465131094,0.2864331894713499,0.30851063829787234,0.15094829,0.00838601536815986,16.68234348297119,0.9267968601650662,5.876985155965238,0.32649917533140216,5.227495266201531,0.2904164036778629,5.531451445763585,0.3073028580979769
0.011877708,0.927485466003418,0.32635399218313793,0.2791832278534996,0.30093133153747853,0.162826,0.008569788671784886,17.60982894897461,0.926833102577611,6.203339148148376,0.32649153411307247,5.506678494055031,0.28982518389763323,5.8323827773010635,0.3069675145947928
0.012671974,0.9278163909912109,0.3296744965773245,0.28179321403592567,0.30385917151055847,0.17549798,0.00877489791600965,18.53764533996582,0.926882266998291,6.533013644725701,0.326650682236285,5.788471708090956,0.2894235854045478,6.136241948811622,0.30681209744058113
0.012487561,0.9282426834106445,0.3340587812475042,0.2854096654782416,0.30782392714226575,0.18798554,0.008951691417245283,19.465888023376465,0.9269470487322126,6.867072425973205,0.3270034488558669,6.073881373569198,0.28923244636043804,6.444065875953888,0.306860279807328
