mse,accuracy,precision,recall,f1,mse_cumulative,mse_cumulative_avg,accuracy_cumulative,accuracy_cumulative_avg,precision_cumulative,precision_cumulative_avg,recall_cumulative,recall_cumulative_avg,f1_cumulative,f1_cumulative_avg
0.0006097492,0.9289474487304688,0.3639338644735715,0.3623445522935467,0.3631374694407878,0.0006097492,0.0006097491714172065,0.9289474487304688,0.9289474487304688,0.3639338644735715,0.3639338644735715,0.3623445522935467,0.3623445522935467,0.3631374694407878,0.3631374694407878
0.0008121962,0.928828239440918,0.3624127617148554,0.35964927244502826,0.3610257288411319,0.0014219454,0.0007109726720955223,1.8577756881713867,0.9288878440856934,0.7263466261884269,0.36317331309421347,0.7219938247385749,0.36099691236928744,0.7241631982819197,0.36208159914095983
0.00088068633,0.9291667938232422,0.3651324292188658,0.36145749816618616,0.36328567019853925,0.0023026317,0.0007675438925313453,2.786942481994629,0.928980827331543,1.0914790554072926,0.3638263518024309,1.083451322904761,0.3611504409682537,1.0874488684804589,0.36248295616015297
0.00094899675,0.9286594390869141,0.36019211167354837,0.355657528871906,0.3579104580100254,0.0032516285,0.0008129071065923199,3.715601921081543,0.9289004802703857,1.4516711670808409,0.3629177917702103,1.439108851776667,0.35977721294416676,1.4453593264904843,0.36133983162262107
0.0009847797,0.9282350540161133,0.3559973676007066,0.3506593200388939,0.35330818215412113,0.004236408,0.0008472816203720868,4.643836975097656,0.9287673950195312,1.8076685346815475,0.36153370693630954,1.789768171815561,0.35795363436311217,1.7986675086446053,0.3597335017289211
0.0009603635,0.9282293319702148,0.3556153445582364,0.3494822674468194,0.3525221326496374,0.0051967716,0.0008661285974085331,5.572066307067871,0.9286777178446451,2.163283879239784,0.36054731320663064,2.1392504392623803,0.3565417398770634,2.1511896412942426,0.35853160688237384
0.00092654634,0.9288959503173828,0.361260555410464,0.35395165555005886,0.35756875990900944,0.006123318,0.0008747597042072032,6.500962257385254,0.9287088939121791,2.524544434650248,0.36064920495003544,2.4932020948124394,0.3561717278303485,2.508758401203252,0.3583940573147503
0.00094764057,0.9287614822387695,0.35957588038010063,0.35115402330222956,0.35531505406968217,0.0070709586,0.0008838698122417554,7.429723739624023,0.9287154674530029,2.8841203150303487,0.3605150393787936,2.844356118114669,0.3555445147643336,2.8640734552729343,0.3580091819091168
0.0010093149,0.9288520812988281,0.3599628506842834,0.3504204977738353,0.35512758453772214,0.008080274,0.000897808155665795,8.358575820922852,0.9287306467692057,3.244083165714632,0.36045368507940356,3.1947766158885043,0.35497517954316715,3.2192010398106565,0.3576890044234063
0.0010894632,0.928584098815918,0.35712277742638276,0.3467358113986455,0.3518526532625912,0.009169737,0.0009169736644253135,9.28715991973877,0.928715991973877,3.601205943141015,0.3601205943141015,3.5415124272871497,0.35415124272871495,3.5710536930732477,0.3571053693073248
0.0011603765,0.9287614822387695,0.358453357749058,0.3472816908616366,0.3527791015032708,0.010330114,0.0009391011924228885,10.215921401977539,0.9287201274525035,3.9596593008900727,0.359969027353643,3.888794118148786,0.353526738013526,3.9238327945765183,0.35671207223422896
0.0012653662,0.9283475875854492,0.35434015525758644,0.3426075979597755,0.3483751225054423,0.01159548,0.0009662899440930536,11.144268989562988,0.9286890824635824,4.313999456147659,0.3594999546789716,4.231401716108562,0.35261680967571346,4.2722079170819605,0.3560173264234967
0.0013845508,0.9280691146850586,0.3514812981687054,0.33919585131608126,0.3452293108088165,0.012980031,0.0009984638577756973,12.072338104248047,0.9286413926344651,4.6654807543163646,0.35888313494741264,4.570597567424643,0.35158442826343406,4.617437227890777,0.35518747906852133
0.0015538819,0.9281606674194336,0.3521049463583897,0.3392811449821736,0.34557411799456156,0.014533913,0.0010381365760362574,13.00049877166748,0.9286070551191058,5.017585700674754,0.3583989786196253,4.909878712406816,0.35070562231477265,4.963011345885339,0.35450081042038134
0.0017626438,0.9280109405517578,0.35051674318838527,0.33730233192883097,0.34378259962445235,0.016296556,0.0010864370580141744,13.928509712219238,0.9285673141479492,5.3681024438631395,0.3578734962575426,5.2471810443356475,0.3498120696223765,5.306793945509791,0.3537862630339861
0.0019204541,0.928370475769043,0.3536429484448232,0.3398099657119462,0.3465884870681781,0.01821701,0.0011385631223674864,14.856880187988281,0.9285550117492676,5.721745392307962,0.35760908701924765,5.586991010047594,0.34918693812797463,5.65338243257797,0.3533364020361231
0.002087748,0.9282569885253906,0.3523585995981579,0.3380529161904437,0.34505754731765076,0.020304758,0.0011943975216982996,15.785137176513672,0.9285374809713924,6.07410399190612,0.3573002348180071,5.925043926238038,0.3485319956610611,5.99843997989562,0.3528494105820953
0.0022296628,0.9288396835327148,0.3575195068942174,0.34235171696149846,0.3497712517973073,0.02253442,0.001251912261876795,16.713976860046387,0.9285542700025771,6.431623498800337,0.3573124166000188,6.267395643199537,0.34818864684441864,6.348211231692927,0.3526784017607182
0.0022490628,0.9289836883544922,0.35864542259175336,0.3428975964244895,0.3505947605260404,0.024783483,0.0013043938670307398,17.64296054840088,0.9285768709684673,6.790268921392091,0.3573825748101101,6.610293239624026,0.34791017050652767,6.6988059922189676,0.35256873643257725
0.0021699353,0.9296932220458984,0.3650370899991063,0.34837344978761875,0.35651065761220607,0.026953418,0.0013476709369570016,18.572653770446777,0.9286326885223388,7.155306011391197,0.3577653005695599,6.958666689411645,0.3479333344705822,7.055316649831173,0.3527658324915587
