,mean,max,std
particle_vel_avg_x_diff,0.00899325218051672,0.01284763216972351,0.0016497275792062283
particle_vel_avg_x_relerr,0.02697932906448841,0.038158711045980453,0.004849661607295275
particle_vel_avg_y_diff,0.015023437328636646,0.019809067249298096,0.002486622892320156
particle_vel_avg_y_relerr,0.03502417728304863,0.04579555243253708,0.005622352007776499
particle_vel_avg_z_diff,0.00934064481407404,0.019890420138835907,0.004500597715377808
particle_vel_avg_z_relerr,0.0730045810341835,0.14917542040348053,0.03398255631327629
fluid_vel_avg_x_diff,0.0033567193895578384,0.006096018478274345,0.0009454551036469638
fluid_vel_avg_x_relerr,5.390510559082031,46.56492614746094,7.087228298187256
fluid_vel_avg_y_diff,0.005949823185801506,0.00791695062071085,0.0010479612974449992
fluid_vel_avg_y_relerr,9.421257972717285,50.10627746582031,8.625396728515625
fluid_vel_avg_z_diff,0.02977234125137329,0.04311475157737732,0.0066979448311030865
fluid_vel_avg_z_relerr,0.06709836423397064,0.0941428616642952,0.013944345526397228
Re_xx_diff,0.002415241440758109,0.0050247712060809135,0.0012941249879077077
Re_xx_relerr,0.15963320434093475,0.2894214987754822,0.07595164328813553
Re_yy_diff,0.004538636188954115,0.009399250149726868,0.0019031132105737925
Re_yy_relerr,0.2797493636608124,0.4454836845397949,0.08661360293626785
Re_zz_diff,0.003211863338947296,0.00408848375082016,0.0007489620475098491
Re_zz_relerr,0.2153991460800171,0.2848406732082367,0.054226819425821304
Re_xy_diff,0.0007337292772717774,0.0026099334936589003,0.0006229182472452521
Re_xy_relerr,1.6014719009399414,28.787094116210938,4.093733787536621
Re_xz_diff,0.0011539137922227383,0.0035108481533825397,0.0010541125666350126
Re_xz_relerr,4.214447021484375,31.38300132751465,6.871544361114502
Re_yz_diff,0.00041963494732044637,0.0011820666259154677,0.0002661245525814593
Re_yz_relerr,3.1235570907592773,89.21363067626953,12.866969108581543
particle_vol_frac_mean_diff,0.007866223653157553,0.01654815673828125,0.0038655024978474367
particle_vol_frac_mean_relerr,0.09731044831621226,0.18865788925131177,0.04527496692349319
particle_vol_frac_std_diff,0.005499960325819786,0.014747824914451264,0.0041563497581572125
particle_vol_frac_std_relerr,0.2560863613030452,0.5961677742218858,0.15644471509650218
