timestep,particle_vel_avg_x_gt,particle_vel_avg_x_pred,particle_vel_avg_x_diff,particle_vel_avg_x_relerr,particle_vel_avg_y_gt,particle_vel_avg_y_pred,particle_vel_avg_y_diff,particle_vel_avg_y_relerr,particle_vel_avg_z_gt,particle_vel_avg_z_pred,particle_vel_avg_z_diff,particle_vel_avg_z_relerr,fluid_vel_avg_x_gt,fluid_vel_avg_x_pred,fluid_vel_avg_x_diff,fluid_vel_avg_x_relerr,fluid_vel_avg_y_gt,fluid_vel_avg_y_pred,fluid_vel_avg_y_diff,fluid_vel_avg_y_relerr,fluid_vel_avg_z_gt,fluid_vel_avg_z_pred,fluid_vel_avg_z_diff,fluid_vel_avg_z_relerr,Re_xx_gt,Re_xx_pred,Re_xx_diff,Re_xx_relerr,Re_yy_gt,Re_yy_pred,Re_yy_diff,Re_yy_relerr,Re_zz_gt,Re_zz_pred,Re_zz_diff,Re_zz_relerr,Re_xy_gt,Re_xy_pred,Re_xy_diff,Re_xy_relerr,Re_xz_gt,Re_xz_pred,Re_xz_diff,Re_xz_relerr,Re_yz_gt,Re_yz_pred,Re_yz_diff,Re_yz_relerr,particle_vol_frac_mean_gt,particle_vol_frac_mean_pred,particle_vol_frac_mean_diff,particle_vol_frac_mean_relerr,particle_vol_frac_std_gt,particle_vol_frac_std_pred,particle_vol_frac_std_diff,particle_vol_frac_std_relerr
30,-0.33311552,-0.32399362,0.009121895,0.027383579,-0.42731017,-0.4130276,0.014282554,0.033424325,-0.13200624,-0.12015741,0.01184883,0.0897596,-0.00048380968,-0.0030810975,0.0025972878,5.368297,-0.001306196,0.0060807746,0.0073869703,5.6552873,-0.44232503,-0.41412535,0.028199673,0.063753285,0.0134733105,0.013318989,0.00015432108,0.011453827,0.016525881,0.012016498,0.004509384,0.27286783,0.0152301015,0.017724924,0.0024948223,0.16380854,-0.0015540347,-0.0002181319,0.0013359027,0.8596296,0.0014069746,0.00034611477,0.0010608599,0.75399536,0.0012338978,0.0002957011,0.00093819667,0.7603459,0.07990264892578125,0.06818389892578125,0.01171875,0.1466628289664945,0.02808371629108815,0.016512659040123907,0.011571057250964245,0.41202001226725044
31,-0.33258596,-0.32357565,0.009010315,0.027091688,-0.4256829,-0.41332135,0.012361556,0.029039353,-0.12865426,-0.118513845,0.010140412,0.07881908,-0.00028027626,-0.0036143232,0.003334047,11.895149,-0.0022492383,0.004455408,0.006704646,2.9808385,-0.44566342,-0.41485253,0.030810893,0.06913489,0.013318375,0.012853579,0.0004647961,0.034898832,0.016740533,0.012197501,0.0045430316,0.271379,0.015281656,0.017936464,0.0026548086,0.17372507,-0.0013086827,0.00016774835,0.001476431,1.1281724,0.0014087089,0.0003333297,0.0010753792,0.7633739,0.0011164026,0.00043466437,0.0006817382,0.6106508,0.08202362060546875,0.070220947265625,0.01180267333984375,0.1438935737508897,0.02403281923217647,0.0175265243590393,0.0065062948731371695,0.2707252987270506
32,-0.33214867,-0.3243599,0.0077887774,0.023449672,-0.4264168,-0.4138322,0.012584627,0.0295125,-0.12564196,-0.11878322,0.0068587363,0.054589532,0.00010288467,-0.0014572145,0.0015600992,15.1621,-0.0019705954,0.004938357,0.0069089523,3.5060048,-0.44852483,-0.4141625,0.034362346,0.076611914,0.013386611,0.012023909,0.0013627019,0.10179581,0.017429404,0.01167449,0.005754914,0.33018404,0.015270421,0.018210191,0.00293977,0.19251388,-0.00082334067,-7.32556e-05,0.00075008505,0.9110153,0.0012871729,0.00033108168,0.0009560912,0.74277806,0.0009950919,0.000519029,0.00047606288,0.47840616,0.08380889892578125,0.07256317138671875,0.0112457275390625,0.1341829607759408,0.01889663956206322,0.01584450019180984,0.003052139370253379,0.16151748807263866
33,-0.33201724,-0.32392946,0.008087784,0.02435953,-0.42854074,-0.41360053,0.014940202,0.03486297,-0.12484397,-0.11614617,0.0086978,0.069669366,0.00019751,-0.0011335664,0.0013310764,6.738945,-0.0009496286,0.005508395,0.0064580236,6.8005066,-0.44903743,-0.41414842,0.034889013,0.07769734,0.014707292,0.011899413,0.0028078798,0.19091739,0.017579118,0.011099544,0.0064795734,0.3685947,0.015181641,0.018424362,0.0032427208,0.21359473,-0.000334773,-0.00049985445,0.00016508144,0.49309978,0.000982248,0.00011561293,0.00086663506,0.88228863,0.00068753585,0.00065296376,3.457209e-05,0.050283324,0.08229827880859375,0.07175445556640625,0.0105438232421875,0.12811716251731461,0.019077256402305037,0.01634555891784494,0.0027316974844600987,0.1431912427521606
34,-0.33298433,-0.32355046,0.009433866,0.02833126,-0.42683122,-0.41298655,0.013844669,0.032435935,-0.12604688,-0.11744421,0.008602671,0.06824977,0.000794723,-0.0023390993,0.0031338222,3.943239,-0.0016684813,0.0045535034,0.0062219845,3.729108,-0.44878563,-0.41444567,0.034339964,0.07651752,0.015249877,0.012505999,0.0027438784,0.17992778,0.017220462,0.0109729525,0.0062475093,0.3627955,0.015037827,0.018462352,0.0034245253,0.22772725,-0.00082228146,-0.00052557583,0.00029670564,0.3608278,0.0007478528,-0.00013109407,0.00087894686,1.1752782,0.0008966216,0.0006677032,0.00022891839,0.25530928,0.08046722412109375,0.0717315673828125,0.00873565673828125,0.10856166281464467,0.023101089799006574,0.019136583865053007,0.003964505933953567,0.17161546283281517
35,-0.33344892,-0.3244965,0.008952409,0.026847918,-0.42413008,-0.4140889,0.010041177,0.023674758,-0.12574063,-0.120409116,0.0053315163,0.042400897,0.0012136339,-0.002024808,0.003238442,2.6683624,-0.0026322778,0.0038989955,0.006531273,2.4812155,-0.44831216,-0.41296726,0.0353449,0.07883993,0.014670968,0.012991797,0.0016791709,0.114455275,0.017691316,0.010619245,0.0070720715,0.39974797,0.0148944,0.0184653,0.0035708994,0.23974761,-0.0012190349,-0.0007530485,0.00046598638,0.38225532,0.00068574306,-0.0004127305,0.0010984736,1.60185,0.00094822876,0.0006750721,0.00027315668,0.2880674,0.0792999267578125,0.07077789306640625,0.00852203369140625,0.10746583212838028,0.025308729107214087,0.017394897393584196,0.007913831713629891,0.31269166275352317
36,-0.33274412,-0.3241512,0.008592933,0.025824448,-0.42412096,-0.41402006,0.010100901,0.023816086,-0.1268377,-0.121184796,0.0056529045,0.04456801,0.0008942957,-0.0021233812,0.003017677,3.3743238,-0.0028258967,0.0039211535,0.00674705,2.3875701,-0.44655588,-0.41209158,0.0344643,0.077178024,0.015092328,0.012920358,0.00217197,0.14391209,0.018097714,0.010717726,0.0073799873,0.40778542,0.014583888,0.018232672,0.003648783,0.25019258,-0.00051081314,-0.00055869267,4.7879526e-05,0.093730144,0.0007105176,-0.0008977713,0.0016082888,2.2635136,0.0008710957,0.000633101,0.00023799471,0.2732099,0.080841064453125,0.07068634033203125,0.01015472412109375,0.12561342349527876,0.0225961801414446,0.01768550756682857,0.00491067257461603,0.217323032948336
37,-0.33246964,-0.3244921,0.007977545,0.023994809,-0.42635897,-0.41303515,0.013323814,0.031250224,-0.12866223,-0.12234888,0.0063133463,0.049069144,0.0008548499,-0.0025409125,0.0033957623,3.9723027,-0.0014688724,0.0050709494,0.0065398216,4.452243,-0.44400945,-0.41235796,0.031651497,0.071285635,0.015497654,0.012549705,0.0029479489,0.19021891,0.01739788,0.010992482,0.0064053982,0.36817098,0.014250107,0.01799675,0.0037466437,0.2629202,-0.00021542996,-0.00023005469,1.4624733e-05,0.067883104,0.0007593564,-0.0015031234,0.0022624799,2.979431,0.00085419475,0.0007319257,0.00012226903,0.14313786,0.0785064697265625,0.07161712646484375,0.00688934326171875,0.08775509086274513,0.019221417302059535,0.016353903933040044,0.0028675133690194907,0.14918316543081286
38,-0.33324558,-0.32488778,0.008357793,0.025079982,-0.42679492,-0.41186583,0.014929086,0.03497953,-0.1328713,-0.12252156,0.010349743,0.07789298,0.000984112,-0.0028585377,0.0038426497,3.9046476,-0.001478165,0.0058395304,0.0073176953,4.950493,-0.44162527,-0.41234395,0.029281318,0.06630354,0.015141317,0.012463457,0.0026778597,0.17685767,0.015934149,0.011026978,0.0049071712,0.30796552,0.014183858,0.017884474,0.0037006158,0.26090315,-0.00031897446,-0.00024053127,7.844319e-05,0.24591538,0.0006453427,-0.0020124153,0.002657758,4.1183033,0.0008527361,0.00075354823,9.918789e-05,0.11631585,0.0771026611328125,0.0717926025390625,0.00531005859375,0.06886996929851118,0.022436662700498988,0.013437709571069106,0.008998953129429882,0.40108233736590304
39,-0.33330527,-0.32490873,0.008396536,0.02519173,-0.4267391,-0.41285285,0.013886243,0.03254036,-0.1284846,-0.12279679,0.005687818,0.044268474,0.0008566419,-0.002288083,0.003144725,3.6709483,-0.0018256748,0.0051671052,0.00699278,3.830223,-0.4400827,-0.4119273,0.028155386,0.06397749,0.014610118,0.012722679,0.0018874388,0.12918702,0.014118396,0.010745775,0.0033726208,0.23888113,0.014337831,0.017721394,0.003383563,0.2359883,4.3715514e-05,-0.0001048345,0.00014855001,3.3973303,0.00050405,-0.0021316833,0.0026357332,5.229007,0.0008208705,0.0007029593,0.0001179112,0.1436399,0.07662200927734375,0.0704345703125,0.00618743896484375,0.08075275257948344,0.022660374214660873,0.011173935280072527,0.011486438934588346,0.5068951534880339
40,-0.3337585,-0.3257171,0.008041412,0.024093503,-0.42825016,-0.41309783,0.015152335,0.035381973,-0.1272034,-0.12129504,0.0059083626,0.04644814,0.00095457793,-0.0031871125,0.00414169,4.3387203,-0.0012801525,0.0057920385,0.0070721908,5.524448,-0.43906268,-0.41145542,0.027607262,0.06287772,0.014416791,0.013064299,0.0013524918,0.09381358,0.01402265,0.010575913,0.0034467373,0.24579768,0.014412876,0.017683802,0.003270926,0.22694455,0.0003268812,-3.1727075e-05,0.0003586083,1.0970263,0.00033328147,-0.0022354142,0.0025686957,7.7070546,0.0006678978,0.000597891,7.000682e-05,0.10481509,0.07906341552734375,0.0696258544921875,0.00943756103515625,0.11936696357650618,0.02434297583667235,0.015965732632321074,0.008377243204351275,0.34413375830548615
41,-0.3344337,-0.32512304,0.009310663,0.027840085,-0.4294991,-0.41395485,0.015544236,0.036191545,-0.1261727,-0.121449985,0.004722722,0.03743061,0.0017799701,-0.0025169437,0.0042969137,2.4140234,-0.00023790282,0.005270295,0.0055081975,23.152168,-0.4395963,-0.41111228,0.028484017,0.06479585,0.015764657,0.013590523,0.0021741344,0.13791186,0.01477357,0.010346408,0.004427162,0.2996675,0.014234784,0.01767102,0.0034362366,0.241397,1.4802768e-06,-4.1420462e-05,4.2900738e-05,28.787094,0.00014504913,-0.0024016488,0.0025466979,17.556274,0.00073608663,0.00043213184,0.0003039548,0.41292784,0.07967376708984375,0.07112884521484375,0.008544921875,0.10724886138339294,0.02646914720736878,0.020205781294311782,0.006263365913056998,0.2366288380089915
42,-0.33498502,-0.32598966,0.008995354,0.026853004,-0.4308045,-0.41315007,0.017654419,0.04098012,-0.12761015,-0.120455585,0.0071545616,0.056065768,0.0026755696,-0.0034204489,0.0060960185,2.2783918,0.00019894927,0.005360041,0.0051610917,25.940443,-0.4405459,-0.41099772,0.029548168,0.06707171,0.017663984,0.0140315825,0.003632401,0.20563874,0.014851538,0.009713869,0.00513767,0.34593496,0.013996239,0.017891603,0.0038953638,0.27831483,-0.00074573484,-1.08562945e-05,0.00073487853,0.9854289,0.00017429123,-0.0025868916,0.0027611828,15.841442,0.00076934433,0.00038272934,0.000386615,0.5025188,0.07894134521484375,0.07137298583984375,0.007568359375,0.09587318781647776,0.02774268478332177,0.018550280938658324,0.009192403844663445,0.33134502312982567
43,-0.33362046,-0.3261808,0.007439673,0.02229981,-0.43137625,-0.41340673,0.017969519,0.041656256,-0.1268385,-0.11916499,0.007673517,0.060498316,0.0017602028,-0.0030527124,0.0048129153,2.7342803,0.0003678532,0.004811702,0.0044438485,12.080165,-0.44336945,-0.4118765,0.03149295,0.07103094,0.016745066,0.014308287,0.0024367794,0.14552215,0.014556928,0.009750599,0.0048063286,0.33017442,0.014090623,0.017876389,0.0037857657,0.2686725,-0.00095566077,-0.00042741757,0.0005282432,0.552746,0.00028664686,-0.0027971563,0.0030838032,10.757821,0.0009124189,0.00044576754,0.00046665134,0.5114386,0.0780029296875,0.0729827880859375,0.0050201416015625,0.06435836420620157,0.030194333000137314,0.017460529047393796,0.012733803952743518,0.42172813472661447
44,-0.33301207,-0.32587916,0.0071329176,0.021419397,-0.42851898,-0.4124653,0.016053677,0.037463162,-0.12737219,-0.12066249,0.0067097023,0.052677915,0.001443121,-0.0028831395,0.0043262606,2.9978294,-0.000513868,0.003836219,0.004350087,8.465214,-0.4444291,-0.41167825,0.032750845,0.07369194,0.015267289,0.0145641565,0.0007031327,0.046054818,0.014106809,0.009825538,0.0042812712,0.30348948,0.014416287,0.017691432,0.0032751448,0.2271835,-0.0004167125,-0.000292822,0.0001238905,0.29729736,0.0004757394,-0.002794202,0.0032699413,6.8732433,0.0009906313,0.0005040207,0.00048661057,0.49120763,0.07765960693359375,0.0737457275390625,0.00391387939453125,0.05039787149449867,0.030136775721633965,0.017183747477970034,0.012953028243663931,0.42980788871473713
45,-0.33460313,-0.325133,0.009470135,0.02830259,-0.42519343,-0.41123295,0.013960481,0.03283325,-0.1242133,-0.11883304,0.005380258,0.043314666,0.001785129,-0.0025373928,0.004322522,2.4213924,-0.0015747125,0.0043892385,0.005963951,3.7873027,-0.44328243,-0.4131059,0.03017652,0.06807516,0.014676513,0.013894254,0.0007822588,0.05330001,0.014682271,0.009514089,0.005168182,0.35200128,0.01452636,0.017642137,0.003115777,0.21449108,-0.00027370083,0.00027275548,0.0005464563,1.9964731,0.0006366194,-0.00271923,0.0033558495,5.2712765,0.0011503322,0.0005975464,0.00055278576,0.48054028,0.07981109619140625,0.07451629638671875,0.0052947998046875,0.06634164162553136,0.03151086522126601,0.016763040306814747,0.014747824914451264,0.46802333514679
46,-0.33419195,-0.3259069,0.008285046,0.024791278,-0.42234042,-0.4133599,0.008980513,0.021263683,-0.11966737,-0.120050445,0.0003830716,0.0032011364,0.0018581789,-0.003034685,0.004892864,2.6331358,-0.0026723533,0.004733095,0.0074054482,2.7711234,-0.44394827,-0.41244808,0.03150019,0.07095464,0.015090568,0.013079811,0.002010757,0.13324586,0.014449576,0.00942194,0.005027636,0.34794325,0.014508255,0.017803118,0.0032948628,0.22710247,-0.00029027386,0.0004901903,0.00078046415,2.688624,0.00070364843,-0.0028071997,0.0035108482,4.989421,0.0013978382,0.0006037838,0.0007940544,0.5680548,0.08187103271484375,0.07480621337890625,0.0070648193359375,0.08629204052700556,0.02925329841855111,0.015554909783441493,0.013698388635109618,0.46826801396667755
47,-0.33379757,-0.32600904,0.007788539,0.023333121,-0.42465433,-0.41313982,0.011514515,0.027115028,-0.1200751,-0.12238122,0.0023061186,0.019205634,0.0016861173,-0.0029496772,0.0046357946,2.7493742,-0.0019789964,0.005042462,0.007021459,3.5479717,-0.4437344,-0.41302726,0.03070715,0.06920164,0.015763333,0.01312881,0.0026345234,0.16712976,0.014123747,0.009501269,0.004622478,0.3272839,0.014467592,0.017849088,0.0033814954,0.2337288,0.00036006942,9.6856355e-05,0.00026321306,0.7309861,0.00025912852,-0.002998594,0.0032577226,12.571356,0.0011784239,0.00044475807,0.0007336658,0.62257695,0.08270263671875,0.074462890625,0.00823974609375,0.09963098426306978,0.025618993357544622,0.016497115143091944,0.009121878214452678,0.3560590584709981
